protein	synthesis rate (nmol protein/mmol c6 unit)
PROSYN-Clo1313_0497      	 0.00000000E+00
PROSYN-Clo1313_0498      	 2.85210551E-01
PROSYN-Clo1313_0501      	 3.36326417E-04
PROSYN-Clo1313_0511      	 0.00000000E+00
PROSYN-Clo1313_0512      	 0.00000000E+00
PROSYN-Clo1313_0521      	 5.17293952E-03
PROSYN-Clo1313_0530      	 0.00000000E+00
PROSYN-Clo1313_0531      	 0.00000000E+00
PROSYN-Clo1313_0542      	 0.00000000E+00
PROSYN-Clo1313_0551      	 9.06005852E-03
PROSYN-Clo1313_0554      	 2.86847490E-02
PROSYN-Clo1313_0564      	 0.00000000E+00
PROSYN-Clo1313_0565      	 0.00000000E+00
PROSYN-Clo1313_0566      	 0.00000000E+00
PROSYN-Clo1313_0567      	 0.00000000E+00
PROSYN-Clo1313_0568      	 0.00000000E+00
PROSYN-Clo1313_0569      	 0.00000000E+00
PROSYN-Clo1313_0570      	 1.36370454E-03
PROSYN-Clo1313_0571      	 1.36370454E-03
PROSYN-Clo1313_0572      	 1.36370454E-03
PROSYN-Clo1313_0573      	 1.36370454E-03
PROSYN-Clo1313_0574      	 1.36370454E-03
PROSYN-Clo1313_0575      	 1.36370454E-03
PROSYN-Clo1313_0578      	 2.20731928E+00
PROSYN-Clo1313_0579      	 0.00000000E+00
PROSYN-Clo1313_0586      	 0.00000000E+00
PROSYN-Clo1313_0592      	 0.00000000E+00
PROSYN-Clo1313_0605      	 6.85532786E-02
PROSYN-Clo1313_0613      	 0.00000000E+00
PROSYN-Clo1313_0626      	 0.00000000E+00
PROSYN-Clo1313_0627      	 1.53459591E-01
PROSYN-Clo1313_0628      	 1.44586750E-01
PROSYN-Clo1313_0629      	 1.05797863E-01
PROSYN-Clo1313_0636      	 7.68031312E-01
PROSYN-Clo1313_0640      	 8.57655283E-02
PROSYN-Clo1313_0641      	 8.57655283E-02
PROSYN-Clo1313_0645      	 0.00000000E+00
PROSYN-Clo1313_0648      	 0.00000000E+00
PROSYN-Clo1313_0650      	 0.00000000E+00
PROSYN-Clo1313_0651      	 1.45318567E-02
PROSYN-Clo1313_0652      	 2.17086162E-02
PROSYN-Clo1313_0654      	 0.00000000E+00
PROSYN-Clo1313_0657      	 0.00000000E+00
PROSYN-Clo1313_0658      	 0.00000000E+00
PROSYN-Clo1313_0666      	 0.00000000E+00
PROSYN-Clo1313_0669      	 0.00000000E+00
PROSYN-Clo1313_0673      	 0.00000000E+00
PROSYN-Clo1313_0677      	 0.00000000E+00
PROSYN-Clo1313_0682      	 0.00000000E+00
PROSYN-Clo1313_0685      	 3.57328424E-03
PROSYN-Clo1313_0700      	 0.00000000E+00
PROSYN-Clo1313_0701      	 0.00000000E+00
PROSYN-Clo1313_0702      	 0.00000000E+00
PROSYN-Clo1313_0703      	 0.00000000E+00
PROSYN-Clo1313_0704      	 0.00000000E+00
PROSYN-Clo1313_0707      	 0.00000000E+00
PROSYN-Clo1313_0708      	 0.00000000E+00
PROSYN-Clo1313_0709      	 4.79925991E-01
PROSYN-Clo1313_0717      	 0.00000000E+00
PROSYN-Clo1313_0718      	 1.77125271E-01
PROSYN-Clo1313_0720      	 7.64162189E-01
PROSYN-Clo1313_0724      	 1.23988462E-03
PROSYN-Clo1313_0728      	 1.07665844E-02
PROSYN-Clo1313_0735      	 0.00000000E+00
