rxn	LB	flux	UB
RXN-ACGS_FWD-argJ                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACKr_FWD-ackA                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACKr_REV-ackA                            	    0.00E+00	 1.01104866E-01	    1.00E+03
RXN-ACLDC_FWD-UNKNOWN                        	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACLS_FWD-ivlBH_0099                      	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACLS_FWD-ivlBH_0305                      	    0.00E+00	 2.97277401E-01	    1.00E+03
RXN-ACNAM9PL_FWD-spsE_0230                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACNAM9PL_FWD-spsE_2902                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACNMCT_FWD-ADU73322                      	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACNPLYS_FWD-spsE_0230                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACNPLYS_FWD-spsE_2902                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACOATA_FWD-fabHA_1281                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACOATA_FWD-fabHA_2100                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACOATA_FWD-fabHA_2102                    	    0.00E+00	 7.32281508E-02	    1.00E+03
RXN-ACONT_FWD-leuC                           	    0.00E+00	 4.17213232E-01	    1.00E+03
RXN-ACONT_REV-leuC                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACOTA_FWD-argD                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACOTA_REV-argD                           	    0.00E+00	 1.04753900E-01	    1.00E+03
RXN-ACPS1_FWD-Spf                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACS2_FWD-ytcI                            	    0.00E+00	 0.00000000E+00	    0.00E+00
RXN-ACt_FWD-SPONT                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACt2_FWD-UNKNOWN                         	    0.00E+00	 1.14662415E-01	    1.00E+03
RXN-ADA_FWD-ylmD                             	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADA_REV-ylmD                             	    0.00E+00	 7.40802157E-02	    1.00E+03
RXN-ADAPAT_FWD-yugH                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADCL_FWD-UNKNOWN                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADCPS1_FWD-cobD                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADCPS2_FWD-cobD                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADEabc_FWD-nupOPQ                        	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADEabc_REV-nupOPQ                        	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADK1_FWD-adk                             	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADK1_REV-adk                             	    0.00E+00	 7.77056063E+00	    1.00E+03
RXN-ADK2_FWD-adk                             	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADK2_REV-adk                             	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADMDC_FWD-speD                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADOCBIK_FWD-cobU                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADOCBIK2_FWD-cobU                        	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADOCBLabc_FWD-fepCCDyvrC                 	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADOCBLS_FWD-cobS                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPCOAL_FWD-grsT                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPCOAL_FWD-lcfA                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPCOAL_FWD-lcfB                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPCOAL_FWD-ldeI                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPRDP_FWD-nudF                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPT_FWD-apt                             	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPT_FWD-hptA                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPT2_FWD-apt                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPT2_REV-apt                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPT2_FWD-dtd                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADPT2_REV-dtd                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADSK_FWD-tufA                            	    0.00E+00	 3.08398805E-01	    1.00E+03
RXN-ADSL1r_FWD-purB                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADSL1r_REV-purB                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ADSL2r_FWD-purB                          	    0.00E+00	 7.49155295E-02	    1.00E+03
RXN-ADSL2r_REV-purB                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AGDC_FWD-nagA                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AGMT_FWD-speB                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AGPR_FWD-argC                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AGPR_REV-argC                            	    0.00E+00	 1.04753900E-01	    1.00E+03
RXN-AGT_FWD-pucG                             	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AGT_REV-pucG                             	    0.00E+00	 2.98516339E-01	    1.00E+03
RXN-AHCi_FWD-SAHH                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AHDTPHL_FWD-folE                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AHEXASE3_FWD-bglX                        	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AHSERL2_FWD-mccB_2335                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AHSERL2_FWD-mccB_2534                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AHSERL4_FWD-cysK                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AHSERL4_FWD-mccA                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AHSERL4_FWD-mccB_2534                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AHSERL4_FWD-mccB_2535                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AHSL_FWD-mccB                            	    0.00E+00	 2.15767281E-01	    1.00E+03
RXN-AHSL_REV-mccB                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AICART_FWD-purH                          	    0.00E+00	 1.03327498E-01	    1.00E+03
RXN-AICART_REV-purH                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AIRC3_FWD-purE                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AKP1_FWD-UNKNOWN                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALAALAr_FWD-ddl                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALAALAr_FWD-pyrAB                        	    0.00E+00	 4.10581804E-02	    1.00E+03
RXN-ALAR_FWD-alrB                            	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ALAR_FWD-ylmE                            	    0.00E+00	 1.41559720E-01	    1.00E+03
