RXN	LB	flux	UB
RXN-ADOCBIK2_FWD-cobU	        0.00	0.00000000	     1000.00
RXN-ADOCBLabc_FWD-fepCCDyvrC	        0.00	0.00000000	     1000.00
RXN-ADOCBLS_FWD-cobS	        0.00	0.00000000	     1000.00
RXN-ADPCOAL_FWD-grsT	        0.00	0.00000000	     1000.00
RXN-ADPCOAL_FWD-lcfA	        0.00	0.00000000	     1000.00
RXN-ADPCOAL_FWD-lcfB	        0.00	0.00000000	     1000.00
RXN-ADPCOAL_FWD-ldeI	        0.00	0.00000000	     1000.00
RXN-ADPRDP_FWD-nudF	        0.00	0.00000000	     1000.00
RXN-ADPT_FWD-apt	        0.00	0.00000000	     1000.00
RXN-ADPT_FWD-hptA	        0.00	0.00000000	     1000.00
RXN-ADPT2_FWD-apt	        0.00	0.00000000	     1000.00
RXN-ADPT2_REV-apt	        0.00	0.00000000	     1000.00
RXN-ADPT2_FWD-dtd	        0.00	0.00000000	     1000.00
RXN-ADPT2_REV-dtd	        0.00	0.00000000	     1000.00
RXN-ADSK_FWD-tufA	        0.00	0.07672527	     1000.00
RXN-ADSL1r_FWD-purB	        0.00	0.00000000	     1000.00
RXN-ADSL1r_REV-purB	        0.00	0.00000000	     1000.00
RXN-ADSL2r_FWD-purB	        0.00	0.07407418	     1000.00
RXN-ADSL2r_REV-purB	        0.00	0.00000000	     1000.00
RXN-AGDC_FWD-nagA	        0.00	0.00000000	     1000.00
RXN-AGMT_FWD-speB	        0.00	0.00000000	     1000.00
RXN-AGPR_FWD-argC	        0.00	0.00000000	     1000.00
RXN-AGPR_REV-argC	        0.00	0.08065407	     1000.00
RXN-AGT_FWD-pucG	        0.00	0.00000000	     1000.00
RXN-AGT_REV-pucG	        0.00	0.40883857	     1000.00
RXN-AHCi_FWD-SAHH	        0.00	0.00000000	     1000.00
RXN-AHDTPHL_FWD-folE	        0.00	0.00000000	     1000.00
RXN-AHEXASE3_FWD-bglX	        0.00	0.00000000	     1000.00
RXN-AHSERL2_FWD-mccB_2335	        0.00	0.05206207	     1000.00
RXN-AHSERL2_FWD-mccB_2534	        0.00	0.00000000	     1000.00
RXN-AHSERL4_FWD-cysK	        0.00	0.00000000	     1000.00
RXN-AHSERL4_FWD-mccA	        0.00	0.00000000	     1000.00
RXN-AHSERL4_FWD-mccB_2534	        0.00	0.00000000	     1000.00
RXN-AHSERL4_FWD-mccB_2535	        0.00	0.00000000	     1000.00
RXN-AHSL_FWD-mccB	        0.00	0.00000000	     1000.00
RXN-AHSL_REV-mccB	        0.00	0.59388893	     1000.00
RXN-AICART_FWD-purH	        0.00	0.10266229	     1000.00
RXN-AICART_REV-purH	        0.00	0.00000000	     1000.00
RXN-AIRC3_FWD-purE	        0.00	0.00000000	     1000.00
RXN-AKP1_FWD-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-ALAALAr_FWD-ddl	        0.00	0.04061332	     1000.00
RXN-ALAALAr_FWD-pyrAB	        0.00	0.00000000	     1000.00
RXN-ALAR_FWD-alrB	        0.00	0.14002595	     1000.00
RXN-ALAR_FWD-ylmE	        0.00	0.00000000	     1000.00
RXN-ALAt_FWD-azlCD	        0.00	0.08354640	     1000.00
RXN-ALAt_REV-azlCD	        0.00	0.00000000	     1000.00
RXN-ALATRS_FWD-alaS	        0.00	0.14567666	     1000.00
RXN-ALCD22xi_FWD-cotJA	        0.00	0.00000000	     1000.00
RXN-ALCD22xi2_FWD-cotJA	        0.00	0.00000000	     1000.00
RXN-ALCD23xi_FWD-gbsB_1798	        0.00	0.35163024	     1000.00
RXN-ALCD23xi2_FWD-cotJA	        0.00	0.00000000	     1000.00
RXN-ALCD23yi_FWD-gbsB_1798	        0.00	0.00000000	     1000.00
RXN-ALCD2x_FWD-gbsB_1798	        0.00	2.07747960	     1000.00
RXN-ALCD2y_FWD-gbsB_1798	        0.00	0.00000000	        0.00
RXN-ALCD3MBOH_FWD-cotJA	        0.00	0.00000000	     1000.00
RXN-ALCD3x_FWD-cotJA	        0.00	0.00000000	     1000.00
RXN-ALDD1_FWD-aldX	        0.00	0.00000000	     1000.00
RXN-ALDD1_REV-aldX	        0.00	0.00000000	     1000.00
RXN-ALDD20x_FWD-Clo1313_2911	        0.00	0.00000000	     1000.00
RXN-ALDD20x_REV-Clo1313_2911	        0.00	0.00000000	     1000.00
RXN-ALDD22x_FWD-aldX	        0.00	0.00000000	     1000.00
RXN-ALDD2x_FWD-aldX	        0.00	0.00000000	     1000.00
RXN-ALDH_FWD-aldX	        0.00	0.00000000	     1000.00
RXN-ALLAS_FWD-ltaSC_2059	        0.00	0.00000000	     1000.00
RXN-ALLAS_FWD-ltaSC_2170	        0.00	0.00069700	     1000.00
RXN-AMAOTr_FWD-bioA	        0.00	0.00000000	     1000.00
RXN-AMAOTr_REV-bioA	        0.00	0.00000000	     1000.00
RXN-AMPTASECG_FWD-pepD	        0.00	0.00000000	     1000.00
RXN-AMPTASECG_REV-pepD	        0.00	0.00000000	     1000.00
RXN-AMUAAH_FWD-cwlD	        0.00	0.00000000	     1000.00
RXN-AMUAAH_FWD-cwlJ	        0.00	0.00000000	     1000.00
RXN-AMUAAH_FWD-lysM	        0.00	0.00000000	     1000.00
RXN-AMUAAH_FWD-sleB_0046	        0.00	0.00000000	     1000.00
RXN-AMUAAH_FWD-sleB_2624	        0.00	0.00000000	     1000.00
RXN-AMUAAH_FWD-SLH	        0.00	0.00000000	     1000.00
RXN-AMUAAH_FWD-ykvT	        0.00	0.00000000	     1000.00
RXN-AMUAAH_FWD-yqiI_1176	        0.00	0.00000000	     1000.00
RXN-AMUAAH_FWD-yqiI_1198	        0.00	0.00000000	     1000.00
RXN-AMUAAH_FWD-yqiI_2048	        0.00	0.00000000	     1000.00
RXN-ANPRT_FWD-trpD	        0.00	0.01647888	     1000.00
RXN-ANS_FWD-pabA	        0.00	0.01647888	     1000.00
RXN-AOXPBDC_FWD-SPONT	        0.00	0.00014182	     1000.00
RXN-AOXSr_FWD-bioF	        0.00	0.00000000	     1000.00
RXN-AOXSr_REV-bioF	        0.00	0.00000000	     1000.00
RXN-AOXSr2_FWD-bioF	        0.00	0.00000000	     1000.00
RXN-APCPT_FWD-coaX	        0.00	0.00000000	     1000.00
RXN-APCS_FWD-speE_2	        0.00	0.00000000	     1000.00
RXN-APCS_FWD-speE_4	        0.00	0.00000000	     1000.00
RXN-APL_FWD-ilvBH_0099	        0.00	1.04331357	     1000.00
RXN-APL_FWD-ilvBH_0305	        0.00	0.00000000	     1000.00
RXN-APNPT_FWD-coaX	        0.00	0.00000000	     1000.00
RXN-APNTPM_FWD-folE	        0.00	0.00000000	     1000.00
RXN-APNTPM_REV-folE	        0.00	0.00000000	     1000.00
RXN-APPAT_FWD-coaD	        0.00	0.00000000	     1000.00
RXN-APRAUR_FWD-ribD	        0.00	0.00007343	     1000.00
RXN-ARGabc_FWD-artPhisMglnQ	        0.00	0.00000000	     1000.00
RXN-ARGDC_FWD-speA	        0.00	0.00000000	     1000.00
RXN-ARGDC_REV-speA	        0.00	0.00000000	     1000.00
RXN-ARGSL_FWD-argH	        0.00	0.08065407	     1000.00
RXN-ARGSL_REV-argH	        0.00	0.00000000	     1000.00
RXN-ARGSS_FWD-argG	        0.00	0.08065407	     1000.00
RXN-ARGSS_REV-argG	        0.00	0.00000000	     1000.00
RXN-ARGTRS_FWD-argS	        0.00	0.08065407	     1000.00
RXN-AROH_FWD-pheE	        0.00	0.00000000	     1000.00
RXN-ASAD_FWD-asd	        0.00	0.00000000	     1000.00
RXN-ASAD_REV-asd	        0.00	0.49183221	     1000.00
RXN-ASAHL_FWD-dapA	        0.00	0.19722807	     1000.00
RXN-ASNabc_FWD-artPhisMglnQ	        0.00	0.04178160	     1000.00
RXN-ASNabc_REV-artPhisMglnQ	        0.00	0.00000000	     1000.00
RXN-ASNabc_FWD-tycBC	        0.00	0.00000000	     1000.00
RXN-ASNabc_REV-tycBC	        0.00	0.00000000	     1000.00
RXN-ASNS1_FWD-ADU74738	        0.00	0.00000000	     1000.00
RXN-ASNS1_FWD-asnA	        0.00	0.00000000	     1000.00
RXN-ASNS2_FWD-ADU74738	        0.00	0.00000000	     1000.00
RXN-ASNS2_FWD-asnA	        0.00	0.13296411	     1000.00
RXN-ASNTRAT_FWD-gatABC_0	        0.00	0.00000000	     1000.00
RXN-ASNTRAT_FWD-gatABC_1	        0.00	0.00000000	     1000.00
RXN-ASNTRS_FWD-asnC	        0.00	0.09118251	     1000.00
RXN-ASP1DC_FWD-panD	        0.00	0.00000000	     1000.00
RXN-ASPabc_FWD-artPhisMglnQ	        0.00	0.00000000	     1000.00
RXN-ASPabc_FWD-tycBC	        0.00	0.00000000	     1000.00
RXN-ASPCT_FWD-pyrB	        0.00	0.05411909	     1000.00
RXN-ASPK_FWD-thrD	        0.00	0.49183221	     1000.00
RXN-ASPO2_FWD-nadB	        0.00	0.00000000	     1000.00
RXN-ASPO2y_FWD-nadB	        0.00	0.00733909	     1000.00
RXN-ASPTA_FWD-aspB	        0.00	0.94702835	     1000.00
RXN-ASPTA_FWD-yhdR	        0.00	0.00000000	     1000.00
RXN-ASPTRS_FWD-aspS_0923	        0.00	0.10604559	     1000.00
RXN-ASPTRS_FWD-aspS_2307	        0.00	0.00000000	     1000.00
RXN-ATAS_FWD-ltaSC_2059	        0.00	0.00000000	     1000.00
RXN-ATAS_FWD-ltaSC_2170	        0.00	0.00093492	     1000.00
RXN-ATPM_FWD-maf	        0.00	0.00000000	     1000.00
RXN-ATPM_FWD-SPONT	        1.74	1.74478100	     1000.00
RXN-ATPM_FWD-nudF	        0.00	0.00000000	     1000.00
RXN-ATPM_FWD-rsgA_1662	        0.00	0.00000000	     1000.00
RXN-ATPM_FWD-rsgA_2278	        0.00	0.00000000	     1000.00
RXN-ATPPRT_FWD-hisGZ	        0.00	0.02858811	     1000.00
RXN-BACCL_FWD-birA	        0.00	0.00000000	     1000.00
RXN-BC13FAS_FWD-UNKNOWN	        0.00	0.00188587	     1000.00
RXN-BC13FAS_REV-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-BC17FAS_FWD-UNKNOWN	        0.00	0.01140097	     1000.00
RXN-BC17FAS_REV-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-BDG2HCGHD_FWD-gmuD	        0.00	0.00000000	     1000.00
RXN-BDG2HCGHD_REV-gmuD	        0.00	0.00000000	     1000.00
RXN-BDG2HCGHD_FWD-nagZ	        0.00	0.00000000	     1000.00
RXN-BDG2HCGHD_REV-nagZ	        0.00	0.00000000	     1000.00
RXN-BDG2HCGHD_FWD-xynD	        0.00	0.00000000	     1000.00
RXN-BDG2HCGHD_REV-xynD	        0.00	0.00000000	     1000.00
RXN-BGGHL_FWD-xynD	        0.00	0.00000000	     1000.00
RXN-BGGHL_REV-xynD	        0.00	0.00000000	     1000.00
RXN-BHPR_FWD-capD_0239	        0.00	0.00000000	     1000.00
RXN-BHPR_REV-capD_0239	        0.00	0.00000000	     1000.00
