protein	synthesis rate (nmol protein/mmol c6 unit)
PROSYN-Clo1313_0497      	 0.00000000E+00
PROSYN-Clo1313_0498      	 2.49084181E-01
PROSYN-Clo1313_0501      	 0.00000000E+00
PROSYN-Clo1313_0511      	 0.00000000E+00
PROSYN-Clo1313_0512      	 0.00000000E+00
PROSYN-Clo1313_0521      	 0.00000000E+00
PROSYN-Clo1313_0530      	 0.00000000E+00
PROSYN-Clo1313_0531      	 0.00000000E+00
PROSYN-Clo1313_0542      	 0.00000000E+00
PROSYN-Clo1313_0551      	 8.00748711E-03
PROSYN-Clo1313_0554      	 1.94347759E-02
PROSYN-Clo1313_0564      	 0.00000000E+00
PROSYN-Clo1313_0565      	 0.00000000E+00
PROSYN-Clo1313_0566      	 0.00000000E+00
PROSYN-Clo1313_0567      	 0.00000000E+00
PROSYN-Clo1313_0568      	 0.00000000E+00
PROSYN-Clo1313_0569      	 0.00000000E+00
PROSYN-Clo1313_0570      	 8.58740555E-04
PROSYN-Clo1313_0571      	 8.58740555E-04
PROSYN-Clo1313_0572      	 8.58740555E-04
PROSYN-Clo1313_0573      	 8.58740555E-04
PROSYN-Clo1313_0574      	 8.58740555E-04
PROSYN-Clo1313_0575      	 8.58740555E-04
PROSYN-Clo1313_0578      	 1.94806983E+00
PROSYN-Clo1313_0579      	 0.00000000E+00
PROSYN-Clo1313_0586      	 0.00000000E+00
PROSYN-Clo1313_0592      	 0.00000000E+00
PROSYN-Clo1313_0605      	 6.05897673E-02
PROSYN-Clo1313_0613      	 0.00000000E+00
PROSYN-Clo1313_0626      	 0.00000000E+00
PROSYN-Clo1313_0627      	 0.00000000E+00
PROSYN-Clo1313_0628      	 0.00000000E+00
PROSYN-Clo1313_0629      	 0.00000000E+00
PROSYN-Clo1313_0636      	 6.79272492E-01
PROSYN-Clo1313_0640      	 7.57336063E-02
PROSYN-Clo1313_0641      	 7.57336063E-02
PROSYN-Clo1313_0645      	 0.00000000E+00
PROSYN-Clo1313_0648      	 0.00000000E+00
PROSYN-Clo1313_0650      	 0.00000000E+00
PROSYN-Clo1313_0651      	 1.28833855E-02
PROSYN-Clo1313_0652      	 1.92460246E-02
PROSYN-Clo1313_0654      	 0.00000000E+00
PROSYN-Clo1313_0657      	 0.00000000E+00
PROSYN-Clo1313_0658      	 0.00000000E+00
PROSYN-Clo1313_0666      	 0.00000000E+00
PROSYN-Clo1313_0669      	 0.00000000E+00
PROSYN-Clo1313_0673      	 0.00000000E+00
PROSYN-Clo1313_0677      	 0.00000000E+00
PROSYN-Clo1313_0682      	 0.00000000E+00
PROSYN-Clo1313_0685      	 0.00000000E+00
PROSYN-Clo1313_0700      	 0.00000000E+00
PROSYN-Clo1313_0701      	 0.00000000E+00
PROSYN-Clo1313_0702      	 0.00000000E+00
PROSYN-Clo1313_0703      	 0.00000000E+00
PROSYN-Clo1313_0704      	 0.00000000E+00
PROSYN-Clo1313_0707      	 0.00000000E+00
PROSYN-Clo1313_0708      	 0.00000000E+00
PROSYN-Clo1313_0709      	 4.23558727E-01
PROSYN-Clo1313_0717      	 1.32193702E-01
PROSYN-Clo1313_0718      	 1.32193702E-01
